frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,7.323950779732869876e+01,2.001806846281668584e+01,-7.908473183777230478e-03,2.134396035987182927e+02,3.491410470909652730e-01,0.000000000000000000e+00,7.375309057548688152e+00,1.000000000000000000e+00
5.000000000000000000e+00,4.663135500322875515e+01,2.589736529774747353e+01,-4.999860874683197814e-02,1.304323723015421365e+03,1.052115343713300177e-02,0.000000000000000000e+00,1.172676612062556423e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.213955094048480845e+02,4.253016208775346030e+01,-1.722770976271427792e-02,4.549738028369172866e+02,1.164981571744738709e-02,0.000000000000000000e+00,1.195683315063524432e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.372416091973346397e+01,5.084372668704551046e+01,-7.367837760357483917e-03,1.994275176333690638e+02,2.000973595737052246e-01,0.000000000000000000e+00,3.870607030858006503e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.403470234322936960e+02,4.219029403496896435e+01,-7.011013185753836759e-03,1.901794062494177808e+02,2.526841888012182347e-01,0.000000000000000000e+00,4.165839391958763294e+00,1.000000000000000000e+00
6.000000000000000000e+00,4.165058462163839437e+01,4.310820410868787889e+01,-7.379822849173512181e-03,1.997381448833007482e+02,4.200049198087196789e-02,0.000000000000000000e+00,7.730415394758648695e+00,1.000000000000000000e+00
6.000000000000000000e+00,7.988176824969242418e+00,1.992352764538680532e+01,3.888462813868274505e-03,-1.092497402552163379e+02,3.040237214673947586e-01,0.000000000000000000e+00,3.315422751551406755e+00,1.000000000000000000e+00
7.000000000000000000e+00,6.928347831903428755e+01,2.624261780081902629e+01,-1.655033870534303869e-02,4.374178287457481815e+02,8.183161265968363907e-02,0.000000000000000000e+00,7.375309057548688152e+00,1.000000000000000000e+00
7.000000000000000000e+00,7.634886097512401193e+01,1.230919125009341464e+01,-8.024117975819184886e-03,2.164368632996956023e+02,1.288201880090484863e-01,0.000000000000000000e+00,8.138588942307601215e+00,1.000000000000000000e+00
7.000000000000000000e+00,6.018184953916282609e+01,3.940535388736474687e+01,-1.812270893150139117e-02,4.781702208826222318e+02,8.606735829791778425e-02,0.000000000000000000e+00,9.153730344964829513e+00,1.000000000000000000e+00
7.000000000000000000e+00,7.664298419890683078e+01,4.776403622990915920e+01,-7.780754049069908695e-03,2.101294033835363848e+02,8.504397477338743183e-02,0.000000000000000000e+00,9.616628729884800109e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.988764517669381249e+01,4.486910426382596739e+01,-9.003983324030597618e-03,2.418328268249071584e+02,5.814607302233965047e-02,0.000000000000000000e+00,1.603481694360615606e+01,1.000000000000000000e+00
8.000000000000000000e+00,3.166051232500453239e+01,1.193012340152919748e+01,-2.699880984193395173e-02,7.082193142390771072e+02,8.602920180273088135e-03,0.000000000000000000e+00,1.098849824717372314e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.402373154961261150e+02,1.882876099863421260e+01,-2.694874778555982758e-02,7.069218153939601734e+02,3.416058743543970433e-02,0.000000000000000000e+00,8.721583889263392564e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.194278269942234942e+02,1.289567795960148011e+01,-1.101510684635914894e-01,2.863343720719213707e+03,5.428851501807718805e-03,0.000000000000000000e+00,8.544481295329751092e+00,1.000000000000000000e+00
9.000000000000000000e+00,5.306872920442056341e+01,8.733846651530855709e+00,-7.551160116818938541e-03,2.041788315629299291e+02,8.228262827871068996e-02,0.000000000000000000e+00,1.035327250821899625e+01,1.000000000000000000e+00
9.000000000000000000e+00,1.081807754200762695e+01,1.819619155961474632e+01,-4.699649541201516949e-03,1.302739234014969441e+02,2.109673227948295482e-01,0.000000000000000000e+00,3.315422751551406755e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.423567566857593647e+02,2.728890252115880699e+01,-8.348697435208475570e-03,2.248492519271020171e+02,1.469584606293149465e-01,0.000000000000000000e+00,8.017785956991904328e+00,1.000000000000000000e+00
9.000000000000000000e+00,8.712374443270105928e+01,2.003890201079570588e+01,-2.658056833636113572e-02,6.973794105322617725e+02,7.254919080521371466e-02,0.000000000000000000e+00,1.050202333380699216e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.031557297679610485e+02,2.443424220785616896e+01,-7.162698956427254564e-03,1.941107691722390598e+02,1.884757438752333591e-01,0.000000000000000000e+00,9.369434305395598628e+00,1.000000000000000000e+00
1.000000000000000000e+01,6.709973534571314246e+01,4.894976362457586561e+01,-2.822879454870891314e-02,7.400978236759526681e+02,4.209659615696281776e-02,0.000000000000000000e+00,3.870607030858006503e+00,1.000000000000000000e+00
1.000000000000000000e+01,8.414361460060084141e+01,9.968583232939025152e+00,-7.394053388998035430e-03,2.001069693049290379e+02,2.217307975643655338e-01,0.000000000000000000e+00,7.805634052846227355e+00,1.000000000000000000e+00
