frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,8.160275079184609126e+01,6.990643586950398003e+00,-3.407895243075717562e-02,8.917211017727015587e+02,6.552457727695404355e-02,0.000000000000000000e+00,7.280683843944856015e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.028646423828895138e+02,2.256046146768959915e+01,-8.115632091299945783e-02,2.111863374402609224e+03,6.888282689292535288e-03,0.000000000000000000e+00,6.950944973033384322e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.145027221467213110e+02,4.237610062344361950e+01,-7.665009905694048810e-03,2.071295687136037316e+02,8.567123485207206457e-02,0.000000000000000000e+00,3.514345881211655698e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.890020286604872624e+01,4.823885461036212519e+01,-2.556283610105183901e-02,6.710020202372327276e+02,4.564288625225831897e-02,0.000000000000000000e+00,5.662254388568210395e+00,1.000000000000000000e+00
6.000000000000000000e+00,4.407898664682635115e+01,4.855326529298234561e+01,-7.788440455800581079e-03,2.103286182096637162e+02,2.408806320317163907e-01,0.000000000000000000e+00,9.978444079012373180e+00,1.000000000000000000e+00
6.000000000000000000e+00,5.950078867789272863e+01,5.309343311933809417e+01,-6.204722629311946319e-02,1.616597498481886987e+03,1.219094213384086522e-02,0.000000000000000000e+00,1.260676431482576199e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.180131616931510052e+02,1.417374443304455944e+01,-8.863841148118523430e-03,2.382006485931702287e+02,1.611556484721111682e-01,0.000000000000000000e+00,6.171959365585663271e+00,1.000000000000000000e+00
7.000000000000000000e+00,7.111236225839446945e+01,2.604066599263578397e+01,-8.010628952586584806e-03,2.160872573639094867e+02,2.298743671999059490e-01,0.000000000000000000e+00,6.191298481429040379e+00,1.000000000000000000e+00
7.000000000000000000e+00,6.916580478088310713e+01,3.191800304889605400e+01,-8.617940137497819703e-03,2.318274330203008446e+02,1.661064387119025598e-01,0.000000000000000000e+00,6.191298481429040379e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.268638094966330385e+02,3.369744632012191232e+01,-3.430455736988991672e-02,8.975682876291874663e+02,1.998145611421708878e-02,0.000000000000000000e+00,3.682089483518648176e+00,1.000000000000000000e+00
7.000000000000000000e+00,9.756588576127772683e+01,7.466884229915656590e+00,-4.560029572563496780e-03,1.266552796384588788e+02,3.567443738392348518e-01,0.000000000000000000e+00,6.228206318573911382e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.412715010498200741e+02,3.062295887629260704e+01,-1.938754497646241748e-02,5.109520006667896723e+02,7.126464473471028072e-02,0.000000000000000000e+00,9.528996157306041326e+00,1.000000000000000000e+00
7.000000000000000000e+00,3.199080789042235651e+01,3.175259472239536507e+01,-7.183015434576816433e-03,1.946373277845921166e+02,1.343539591989483251e-01,0.000000000000000000e+00,1.081346545469613218e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.341835497455897475e+01,4.965676450010452925e+01,-1.062992953885079535e-02,2.839737912348664963e+02,4.406276369408144156e-01,0.000000000000000000e+00,5.662254388568210395e+00,1.000000000000000000e+00
8.000000000000000000e+00,5.935508075283401297e+01,2.222611056987804901e+01,3.603113656430541236e-03,-1.018541151242060039e+02,1.857197103913490466e-01,0.000000000000000000e+00,4.235259285260206674e+00,1.000000000000000000e+00
8.000000000000000000e+00,9.385160371369985910e+01,2.747131580468762735e+01,-7.641867847742880339e-03,2.065297772619527734e+02,2.317062214017245880e-01,0.000000000000000000e+00,6.231628549726108801e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.006052515390675239e+01,3.077509382290813633e+01,-6.651250317913904447e-03,1.808551407408295972e+02,2.560416034563959276e-01,0.000000000000000000e+00,1.268350224033491891e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.054434808478164314e+02,5.319736534902644109e+01,-1.637784693432356442e-02,4.329472198674918104e+02,6.676737587404335539e-02,0.000000000000000000e+00,8.502493272620387899e+00,1.000000000000000000e+00
8.000000000000000000e+00,8.096143949860260136e+01,1.938954816642433343e+01,-8.462659826775015617e-03,2.278029074928923592e+02,2.747025958402675716e-01,0.000000000000000000e+00,5.918329280655243885e+00,1.000000000000000000e+00
9.000000000000000000e+00,3.908244767030917899e+01,3.991590779811611611e+01,-7.860533163759024847e-03,2.121971032878311121e+02,2.186263224336679745e-01,0.000000000000000000e+00,5.867712586282446630e+00,1.000000000000000000e+00
9.000000000000000000e+00,9.858853530658647912e+01,4.816724472644425958e+01,-1.864641628965157602e-02,4.917435684754768204e+02,4.782080061084892364e-02,0.000000000000000000e+00,8.502493272620387899e+00,1.000000000000000000e+00
9.000000000000000000e+00,9.763176919148240529e+01,1.369474207353640338e+01,-5.506161152444522151e-03,1.511769377791089539e+02,4.749269955394084253e-01,0.000000000000000000e+00,6.012441774748450207e+00,1.000000000000000000e+00
9.000000000000000000e+00,4.707693239538734531e+01,1.591455713098621239e+01,7.715544075632989850e-03,-2.084393037082015212e+02,2.748117264626463996e-01,0.000000000000000000e+00,3.281646914196471698e+00,1.000000000000000000e+00
1.000000000000000000e+01,3.159697453153466640e+01,2.064285662117445597e+01,-2.773786469952077907e-02,7.273739973194261665e+02,4.385373391989066949e-02,0.000000000000000000e+00,6.016754387654422054e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.301528717085158178e+02,2.064831247595197539e+01,-8.231529339502946171e-03,2.218125115318144367e+02,2.501551958739327564e-01,0.000000000000000000e+00,8.103130379210751855e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.136007154355924520e+01,4.339184492062430110e+01,-3.482560134461043511e-02,9.110726061574295045e+02,1.945443108207908223e-01,0.000000000000000000e+00,4.625232591870469534e+00,1.000000000000000000e+00
1.000000000000000000e+01,2.377573394583735222e+01,9.628698430703833466e+00,-5.306904255675063548e-02,1.383902641879737075e+03,2.834800756294797441e-02,0.000000000000000000e+00,1.081019201221171144e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.033259911463999146e+02,1.562484373481637689e+01,-9.920400644794128905e-03,2.655843564554471072e+02,2.153725762972339419e-01,0.000000000000000000e+00,6.012441774748450207e+00,1.000000000000000000e+00
1.000000000000000000e+01,4.653473447061096380e+01,1.936575716497570454e+01,-7.442718679953498097e-03,2.013682670498739640e+02,3.657614404280098430e-01,0.000000000000000000e+00,3.493531202700340454e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.000584137753640164e+02,2.802692649589695861e+01,-1.450910849572494693e-02,3.845136128301177223e+02,1.336104444056085416e-01,0.000000000000000000e+00,6.231628549726108801e+00,1.000000000000000000e+00
1.100000000000000000e+01,7.609428332040320697e+01,3.467538858930356582e+01,-1.008931409306480613e-02,2.699622230460251444e+02,5.566965831327896908e-02,0.000000000000000000e+00,6.447777045214027503e+00,1.000000000000000000e+00
