frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.400692420474753135e+02,7.602344299246647452e+00,-3.570124431952516331e-02,9.337673540558358809e+02,1.020911278837921543e-02,0.000000000000000000e+00,1.127289049124146203e+01,1.000000000000000000e+00
5.000000000000000000e+00,7.345750919717028182e+01,1.112518760801288842e+01,-7.165709688878759732e-03,1.941888007626633623e+02,1.126439988980421081e-01,0.000000000000000000e+00,1.006657435620167718e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.318676125821712901e+02,1.857228807957309158e+01,-1.047593651654131069e-01,2.723602581235874823e+03,8.321635526025272789e-03,0.000000000000000000e+00,3.174658841845649171e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.248779285258195415e+01,2.254176256177801108e+01,-1.510987019796919753e-02,4.000840402417902055e+02,1.847654156405087456e-01,0.000000000000000000e+00,9.601204774017451982e+00,1.000000000000000000e+00
5.000000000000000000e+00,9.300598825256115276e+01,2.396586570955830453e+01,-1.068693946505945049e-02,2.854513636474563896e+02,2.733395688027369097e-01,0.000000000000000000e+00,6.391247183995131032e+00,1.000000000000000000e+00
5.000000000000000000e+00,9.970122558676588653e+01,2.546546432788038672e+01,-7.931523397117799801e-03,2.140370146392392883e+02,3.116702763392367181e-01,0.000000000000000000e+00,6.861122282644611658e+00,1.000000000000000000e+00
5.000000000000000000e+00,4.536720325453224945e+01,3.687614982107523787e+01,-8.206296466732609235e-03,2.211585307397785982e+02,5.718845824669605005e-02,0.000000000000000000e+00,7.310086306440851445e+00,1.000000000000000000e+00
5.000000000000000000e+00,2.274605189902310798e+01,4.694405455281569317e+01,-6.705771661209743335e-03,1.822682145353198848e+02,1.282895772411811741e-01,0.000000000000000000e+00,1.972571121381444570e+01,1.000000000000000000e+00
6.000000000000000000e+00,6.329301903303744581e+01,1.877223620036107832e+01,-7.510525235254083241e-03,2.031256644395532476e+02,1.613031959837822882e-01,0.000000000000000000e+00,8.878851464688217732e+00,1.000000000000000000e+00
6.000000000000000000e+00,8.641100912882014029e+01,5.250840796823207768e+01,-1.403603109562500534e-02,3.722524828498912370e+02,4.675353410038951552e-02,0.000000000000000000e+00,1.051178155109239043e+01,1.000000000000000000e+00
7.000000000000000000e+00,2.081978173246621111e+01,2.731262143813356857e+01,-2.773208437740369917e-02,7.272241840313888588e+02,1.693998510278460490e-02,0.000000000000000000e+00,8.652853190669805628e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.229677474175431229e+02,4.380510417946634050e+01,-2.677749613026686806e-02,7.024833475989813678e+02,1.729421976351264156e-02,0.000000000000000000e+00,1.379534180284893097e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.195781123367947885e+02,1.653448412162879677e+01,-8.297946694923606994e-03,2.235339039035142719e+02,1.370640153237731029e-01,0.000000000000000000e+00,1.071852214917082868e+01,1.000000000000000000e+00
8.000000000000000000e+00,3.507813694560119444e+01,1.571234937193737125e+01,4.122141854532453652e-03,-1.153061891378576149e+02,1.244545640393931452e-01,0.000000000000000000e+00,7.337383705947825518e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.099298812639367782e+02,2.120335488734964713e+01,-8.987075424541524082e-03,2.413946111052715651e+02,8.690217039768011187e-02,0.000000000000000000e+00,1.071852214917082868e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.237677179975358399e+01,3.480170757857781894e+01,-8.831795951775123915e-03,2.373701072958575935e+02,5.980558139180769395e-02,0.000000000000000000e+00,3.254125765890763411e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.075847573486884130e+02,6.842622478468011415e+00,-7.937405041255765972e-03,2.141894539721218393e+02,1.363405416435695683e-01,0.000000000000000000e+00,1.455095328483234240e+01,1.000000000000000000e+00
9.000000000000000000e+00,1.314179950978758598e+02,3.290075781673269972e+01,-4.004677416733960077e-02,1.046393969247664018e+03,9.134748574660311871e-02,0.000000000000000000e+00,4.476387967011454805e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.394536767864849196e+02,4.514166799012267717e+01,-9.111537217882633224e-03,2.446203881671329725e+02,4.995200789911768968e-02,0.000000000000000000e+00,1.346254404642847824e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.156739320059150344e+01,1.995918315057756587e+01,-2.770262644068694977e-02,7.264606988364565723e+02,4.716220943008098132e-02,0.000000000000000000e+00,3.830048478073543539e+00,1.000000000000000000e+00
9.000000000000000000e+00,7.838968406730153049e+01,4.571459492728520502e+01,-1.933278736936494199e-02,5.095328034320739903e+02,1.696745283973788432e-02,0.000000000000000000e+00,1.051178155109239043e+01,1.000000000000000000e+00
9.000000000000000000e+00,4.833841475284687306e+01,4.876183419250141071e+01,-4.912534785645795293e-02,1.281690713530583935e+03,1.577245933843618442e-02,0.000000000000000000e+00,1.225143219157994601e+01,1.000000000000000000e+00
1.000000000000000000e+01,9.648616293010039158e+01,1.860522910736819213e+01,-3.698791017470552667e-02,9.671149147047972292e+02,5.529775000206904600e-03,0.000000000000000000e+00,6.391247183995131032e+00,1.000000000000000000e+00
1.000000000000000000e+01,3.700380741549266617e+01,4.450879303758654260e+00,-6.545943740144856242e-03,1.781258249089459298e+02,1.281104812079286726e-01,0.000000000000000000e+00,1.142492515752716997e+01,1.000000000000000000e+00
