frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,5.871787157950643632e+01,5.698006015198103569e+00,-3.276554203569287393e-02,8.576803812312806485e+02,7.533120715891905572e-02,0.000000000000000000e+00,1.610104637276664974e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.058316115378879374e+01,1.414004754031574507e+01,-2.371563991822407680e-02,6.231267412832080481e+02,1.107497158510617474e-02,0.000000000000000000e+00,9.718242090667558841e+00,1.000000000000000000e+00
5.000000000000000000e+00,2.010161486196953007e+01,1.638352196917690762e+01,-1.630405074444282038e-02,4.310345842692109954e+02,8.973142599000838437e-03,0.000000000000000000e+00,1.441161962829483478e+01,1.000000000000000000e+00
5.000000000000000000e+00,7.747332560835498327e+01,1.826555445152838431e+01,-1.420449102052906074e-02,3.766185951082055112e+02,1.467012071306483811e-02,0.000000000000000000e+00,1.374363835753775476e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.215478087442654953e+01,2.142795670795215912e+01,-1.427453016718352626e-02,3.784338563755015912e+02,2.880230729778443521e-02,0.000000000000000000e+00,1.011473165767925231e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.827349546359593546e+01,3.367601223632215124e+01,-1.519904367760056135e-02,4.023952215079387429e+02,2.929609358352166515e-01,0.000000000000000000e+00,3.787535525736007713e+00,1.000000000000000000e+00
5.000000000000000000e+00,9.264271374394348868e+01,3.758693767400575325e+01,-2.059186022665179458e-02,5.421652140154329800e+02,2.148428594439583117e-01,0.000000000000000000e+00,6.442462221253784094e+00,1.000000000000000000e+00
5.000000000000000000e+00,3.524200032218923440e+01,4.013151688996419608e+01,-1.551856571297977917e-02,4.106765327828030081e+02,7.235920691539166061e-02,0.000000000000000000e+00,1.087173699349761158e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.745283796622125294e+01,4.187273100063023890e+01,-1.843335239317508978e-02,4.862214189746978263e+02,2.697890708928336601e-01,0.000000000000000000e+00,6.442462221253784094e+00,1.000000000000000000e+00
6.000000000000000000e+00,9.160199297882816438e+01,4.475358665597143570e+00,-1.713198043605911394e-02,4.524927083758617528e+02,4.392673476038089220e-02,0.000000000000000000e+00,4.355995536236962451e+00,1.000000000000000000e+00
6.000000000000000000e+00,3.924584699970283452e+01,2.320313778573997610e+01,-2.098986223475664270e-02,5.524805542805434015e+02,3.665136465769891494e-02,0.000000000000000000e+00,6.663565277650187468e+00,1.000000000000000000e+00
6.000000000000000000e+00,3.207342584181395750e+01,6.098489373284684767e+00,-1.696227606388875375e-02,4.480943427702463850e+02,2.714302283863172516e-01,0.000000000000000000e+00,4.909100375778515435e+00,1.000000000000000000e+00
6.000000000000000000e+00,6.760663436820948391e+01,2.994764508190021601e+01,-1.544821237831573227e-02,4.088531284504970813e+02,2.787726688140463871e-01,0.000000000000000000e+00,3.787535525736007713e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.320078119837243378e+02,1.927314083837867997e+01,-2.004456119264550265e-02,5.279804218596759711e+02,1.429476002291829584e-02,0.000000000000000000e+00,1.454457720122813136e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.165183447191330970e+02,2.602139059861051962e+01,-2.027611089858398496e-02,5.339816830503293659e+02,2.840892425933005949e-02,0.000000000000000000e+00,1.017123176238410309e+01,1.000000000000000000e+00
7.000000000000000000e+00,7.169214004340584268e+01,4.756310337259230892e+01,-1.992241482682873335e-02,5.248146556075250828e+02,1.157443831226967479e-02,0.000000000000000000e+00,1.044622746365976163e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.280311318111694447e+02,5.282760544487669740e+00,-1.920956655800578824e-02,5.063391899049336757e+02,1.315617965086823826e-02,0.000000000000000000e+00,1.454457720122813136e+01,1.000000000000000000e+00
8.000000000000000000e+00,2.737834843365371995e+01,5.185928430877015671e+01,-2.508035623582670001e-02,6.584971989561530563e+02,2.411308336867079571e-02,0.000000000000000000e+00,9.764489069517624742e+00,1.000000000000000000e+00
8.000000000000000000e+00,6.683261575421191480e+00,2.176761443720354805e+01,-4.036936426810772138e-03,1.130978510855735237e+02,1.236747570401999230e-01,0.000000000000000000e+00,1.445823836526717976e+01,1.000000000000000000e+00
8.000000000000000000e+00,3.973740080992094903e+01,1.655772756054204109e+01,-2.051597273519716394e-02,5.401983764611511560e+02,5.951025721105540622e-02,0.000000000000000000e+00,6.663565277650187468e+00,1.000000000000000000e+00
9.000000000000000000e+00,6.544314845851113560e+00,3.877940010797622961e+01,-2.090890074167212412e-02,5.503822097181255231e+02,3.065904108199146716e-02,0.000000000000000000e+00,1.488442111292768466e+01,1.000000000000000000e+00
9.000000000000000000e+00,3.222564363566457502e+01,2.968660149559921990e+01,-2.022643495985113060e-02,5.326941915287208076e+02,1.581571307584495045e-02,0.000000000000000000e+00,9.556074348262255214e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.394682512983321203e+02,3.773900543202262980e+01,-2.049321707003649157e-02,5.396085994642737660e+02,1.113632562719468755e-02,0.000000000000000000e+00,1.307649378298117071e+01,1.000000000000000000e+00
9.000000000000000000e+00,6.505951433855996413e+01,3.949266692330797213e+01,-2.022821683284048086e-02,5.327403737735839968e+02,1.405870847787094036e-02,0.000000000000000000e+00,6.057336331374395755e+00,1.000000000000000000e+00
1.100000000000000000e+01,9.108793391589634325e+01,8.800915322437278476e+00,-1.901866711934777424e-02,5.013914946017048351e+02,2.466466115351462207e-02,0.000000000000000000e+00,4.355995536236962451e+00,1.000000000000000000e+00
1.100000000000000000e+01,6.418978302304024908e+01,2.774129139576351832e+01,-1.879046389321408286e-02,4.954769668374508456e+02,3.708695743211487539e-02,0.000000000000000000e+00,4.067292674902287075e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.008621259231101845e+02,4.911102604851090803e+01,-2.172836816063971471e-02,5.716210102535130773e+02,9.178731706511178423e-03,0.000000000000000000e+00,1.243871584054119417e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.214903745801903057e+02,3.489454531521986524e+01,-2.055780783706591397e-02,5.412826506658382186e+02,1.186660346784584874e-02,0.000000000000000000e+00,1.001219845609593406e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.014671068237441176e+02,1.578468592986750885e+01,-2.182138783369077378e-02,5.740318764283847486e+02,2.607048223136464449e-01,0.000000000000000000e+00,6.071446778313267956e+00,1.000000000000000000e+00
1.300000000000000000e+01,5.766548064026472531e+01,1.334600142447605720e+01,-2.067006143245991509e-02,5.441920179777893054e+02,2.107799659401488057e-02,0.000000000000000000e+00,8.146118310457648448e+00,1.000000000000000000e+00
1.300000000000000000e+01,4.946347389197090649e+01,4.181344642204945927e+01,-2.114900606953786649e-02,5.566052138888697982e+02,1.209964155593790114e-02,0.000000000000000000e+00,1.576776760018426415e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.230424870824190577e+02,2.123043072759860550e+01,-2.059197982274947950e-02,5.421683136843212196e+02,3.487379991863337469e-02,0.000000000000000000e+00,1.027639314277204363e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.872855582595169821e+01,4.732868449942122169e+01,-1.922382569175562148e-02,5.067087554184737428e+02,1.011204592149800296e-01,0.000000000000000000e+00,5.349276694404125010e+00,1.000000000000000000e+00
1.400000000000000000e+01,5.985759315818352633e+00,8.139085355143139466e+00,-1.879597545157244212e-02,4.956198143575630866e+02,1.285720612717244915e-02,0.000000000000000000e+00,2.715517775952580948e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.296537934805100463e+02,2.909776088053952847e+01,-2.798975479228714772e-02,7.339024367830049869e+02,3.643033679941043435e-02,0.000000000000000000e+00,1.001219845609593406e+01,1.000000000000000000e+00
1.400000000000000000e+01,8.846879920640753880e+01,3.782640755359415863e+01,-2.046135381674398304e-02,5.387827737323115116e+02,1.123630336752690084e-02,0.000000000000000000e+00,1.133490185179176457e+01,1.000000000000000000e+00
1.400000000000000000e+01,4.977264398174371252e+01,1.133046849001921430e+01,-1.908134039282117361e-02,5.030158485703815927e+02,9.761917628702521110e-02,0.000000000000000000e+00,5.190553568710359222e+00,1.000000000000000000e+00
1.400000000000000000e+01,6.907362072488793103e+01,3.495633874397292118e+01,-2.225153748467589496e-02,5.851804131806443365e+02,1.554133419812775418e-02,0.000000000000000000e+00,6.057336331374395755e+00,1.000000000000000000e+00
1.500000000000000000e+01,1.418228060963121777e+02,5.059829130861511715e+01,-2.010478565583266597e-02,5.295413080296159478e+02,4.166844011074199994e-02,0.000000000000000000e+00,2.238425160266379876e+01,1.000000000000000000e+00
1.600000000000000000e+01,7.507647280819161040e+01,6.830793454214821203e+00,-2.024334302708898428e-02,5.331324115960372865e+02,4.453605889471579093e-02,0.000000000000000000e+00,1.239465904588278278e+01,1.000000000000000000e+00
1.600000000000000000e+01,8.541128408736594224e+01,1.367325271149468513e+01,-2.071584260632817684e-02,5.453785657252140027e+02,1.292393082340037580e-02,0.000000000000000000e+00,7.480910700480321474e+00,1.000000000000000000e+00
1.600000000000000000e+01,8.484963948237719933e+01,2.641740263831191982e+01,-1.791610218476522368e-02,4.728154265593493051e+02,1.887562469501524731e-01,0.000000000000000000e+00,3.671493873657821094e+00,1.000000000000000000e+00
1.600000000000000000e+01,2.214117984722441790e+01,5.144799978751553482e+01,-2.059169726056612679e-02,5.421609902914539134e+02,1.038775824421231952e-01,0.000000000000000000e+00,5.349276694404125010e+00,1.000000000000000000e+00
1.700000000000000000e+01,4.525001960011433511e+01,1.387756783090549817e+01,-1.613399419188319903e-02,4.266270909193231091e+02,3.117453596749738542e-01,0.000000000000000000e+00,4.137286272032818957e+00,1.000000000000000000e+00
1.700000000000000000e+01,9.978385070219951558e+01,3.715587818262812192e+01,-2.001084222850877531e-02,5.271065001673870256e+02,6.928709062250293371e-03,0.000000000000000000e+00,1.032419545503337588e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.013922338387354358e+02,2.320037890747158471e+01,-1.941415049025901202e-02,5.116415573075884708e+02,8.647012318188318503e-03,0.000000000000000000e+00,5.228002477968400008e+00,1.000000000000000000e+00
1.800000000000000000e+01,3.093497486485427928e+01,3.351032194446575119e+01,-2.112470506696379619e-02,5.559753851311494373e+02,1.477737506546850099e-02,0.000000000000000000e+00,5.566993074585466772e+00,1.000000000000000000e+00
1.800000000000000000e+01,8.122197237366110301e+01,2.585180683506872867e+01,-1.692512165507726110e-02,4.471313818769972954e+02,2.157785518880097619e-01,0.000000000000000000e+00,3.671493873657821094e+00,1.000000000000000000e+00
1.800000000000000000e+01,1.182294478744694288e+02,4.732023363807560656e+01,-2.252932536930316379e-02,5.923800666826454062e+02,7.958779868685483816e-02,0.000000000000000000e+00,6.900897593811713193e+00,1.000000000000000000e+00
1.800000000000000000e+01,1.275583674484272620e+02,1.115315114830651844e+01,-1.793650346490124198e-02,4.733441830534407586e+02,2.875916631193407014e-01,0.000000000000000000e+00,9.206607634161962039e+00,1.000000000000000000e+00
1.900000000000000000e+01,4.367776982308886602e+01,1.770446844829740840e+01,-1.789296059492755456e-02,4.722156472401749170e+02,1.988857806774018133e-01,0.000000000000000000e+00,4.137286272032818957e+00,1.000000000000000000e+00
1.900000000000000000e+01,5.212434401280760454e+01,2.638035954923135762e+01,-1.706244669803272038e-02,4.506905461931564787e+02,1.966770148856165079e-01,0.000000000000000000e+00,7.441027446581822247e+00,1.000000000000000000e+00
1.900000000000000000e+01,9.481748652436834846e+01,5.102975292724622847e+01,-1.979315136006735282e-02,5.214644296882121353e+02,1.868699186594302564e-02,0.000000000000000000e+00,1.465039793716115923e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.357201017368951170e+02,2.653386565346903936e+01,1.328202811996167035e-02,-3.527103772914082924e+02,1.770834439395739812e-01,0.000000000000000000e+00,9.137345094611715624e+00,1.000000000000000000e+00
2.000000000000000000e+01,1.214895991560178032e+02,4.123798066555836783e+01,-2.266760500811389537e-02,5.959639720324232712e+02,4.611841625220458596e-02,0.000000000000000000e+00,6.900897593811713193e+00,1.000000000000000000e+00
2.200000000000000000e+01,1.224194615605083101e+02,1.879208238274771148e+01,-2.817481049702481172e-02,7.386986753031532089e+02,5.361637608665703603e-02,0.000000000000000000e+00,9.206607634161962039e+00,1.000000000000000000e+00
2.200000000000000000e+01,1.292988130976591776e+02,4.417681150077468288e+01,-2.050500055658298348e-02,5.399140016249693872e+02,2.085732359381931023e-02,0.000000000000000000e+00,8.343892920234788235e+00,1.000000000000000000e+00
2.200000000000000000e+01,1.098604997714140197e+01,4.672393767229882400e+01,-1.951625640049831079e-02,5.142879188478542574e+02,6.228301868185925905e-02,0.000000000000000000e+00,8.099188571651824375e+00,1.000000000000000000e+00
2.300000000000000000e+01,4.474209035375575638e+01,2.544696768393597353e+01,-2.168512809747332945e-02,5.705003225294233289e+02,5.050883245415582756e-02,0.000000000000000000e+00,5.604151885098768382e+00,1.000000000000000000e+00
2.300000000000000000e+01,2.874748854684297328e+01,2.839111150720143684e+01,-2.073710311324477792e-02,5.459295914954047930e+02,1.186145257312931633e-02,0.000000000000000000e+00,5.566993074585466772e+00,1.000000000000000000e+00
2.300000000000000000e+01,1.298163065394385107e+01,3.887444639696459348e+01,-3.604520974629123187e-02,9.426821844945587827e+02,2.680605656241441537e-02,0.000000000000000000e+00,8.099188571651824375e+00,1.000000000000000000e+00
2.400000000000000000e+01,1.412993832043795521e+02,7.682581701247415573e+00,-1.956684098690983711e-02,5.155989605269890035e+02,1.041081157849255145e-02,0.000000000000000000e+00,1.815579319229997779e+01,1.000000000000000000e+00
2.400000000000000000e+01,7.885071009552427768e+01,1.456121084046282554e+01,-1.847641328233212352e-02,4.873374629009284718e+02,9.468152649628858164e-03,0.000000000000000000e+00,1.213865520616075422e+01,1.000000000000000000e+00
2.400000000000000000e+01,1.406401772899539822e+02,3.423347161288133123e+01,-1.938172468029496914e-02,5.108011513389261609e+02,2.307633293543653874e-02,0.000000000000000000e+00,8.414948757562882520e+00,1.000000000000000000e+00
2.500000000000000000e+01,1.382642883865262320e+02,4.390058626450443313e+01,-2.668026570756993135e-02,6.999633480165289257e+02,2.114595389081641574e-02,0.000000000000000000e+00,8.969729513003073862e+00,1.000000000000000000e+00
2.500000000000000000e+01,8.569342114374742891e+01,3.624129602375391102e+01,-2.008674023820003485e-02,5.290736103313230387e+02,9.033563693904844705e-03,0.000000000000000000e+00,3.670661694972576328e+00,1.000000000000000000e+00
2.500000000000000000e+01,5.030302205311951980e+01,4.340360815578401343e+01,-2.046474236023972104e-02,5.388705973574436712e+02,1.342619248178156255e-02,0.000000000000000000e+00,1.574647767105434326e+01,1.000000000000000000e+00
2.600000000000000000e+01,2.528728180535009784e+01,4.503191500768237177e+01,-1.973166977601166494e-02,5.198709616989618780e+02,2.678571062911760947e-02,0.000000000000000000e+00,7.857589191669456241e+00,1.000000000000000000e+00
2.600000000000000000e+01,7.176163703077567391e+01,4.704216695395918180e+01,-2.048479677095637122e-02,5.393903637559691333e+02,7.488688902254514446e-03,0.000000000000000000e+00,8.499820316857130464e+00,1.000000000000000000e+00
2.600000000000000000e+01,1.067160570783565134e+02,5.211856375705784217e+01,-1.979651739389073906e-02,5.215516699119423265e+02,1.334692849582863605e-02,0.000000000000000000e+00,2.393851077923456216e+01,1.000000000000000000e+00
2.700000000000000000e+01,6.679716786891559366e+01,1.312626484656097858e+01,-1.995692312403574489e-02,5.257090350840379642e+02,1.320527465219933916e-02,0.000000000000000000e+00,9.644572613562278462e+00,1.000000000000000000e+00
2.700000000000000000e+01,1.047662354028279168e+02,1.263965205967390126e+01,-1.855392284610235878e-02,4.893463410166379504e+02,6.325932764871389224e-02,0.000000000000000000e+00,6.808295969558150418e+00,1.000000000000000000e+00
