frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,7.494458275977665096e+01,2.302043233211841056e+01,-4.352596825902708966e-02,1.136567059265501257e+03,2.173828447716367185e-01,0.000000000000000000e+00,3.542721161193401080e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.234192201319691833e+02,2.252600522522003246e+01,-4.465098417183891583e-02,1.165725007486859568e+03,2.858278547599901742e-02,0.000000000000000000e+00,1.669464415836689852e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.038801798274624417e+02,2.973226998317581504e+01,-3.154921712969855491e-02,8.261559039101645112e+02,7.370604923426438138e-02,0.000000000000000000e+00,5.418178863272534507e+00,1.000000000000000000e+00
5.000000000000000000e+00,8.837075462433060125e+01,3.135668612777281439e+01,-2.682640468978516116e-02,7.037509503322185083e+02,8.499032942851147965e-03,0.000000000000000000e+00,1.532995362444780518e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.507836851244857712e+01,4.566558962379901487e+01,-1.796644648991715942e-02,4.741202406745483700e+02,2.296375793638157914e-01,0.000000000000000000e+00,1.225147324414481531e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.828436763949304122e+01,4.621349932658829118e+01,-2.557493531749224086e-02,6.713156054252026479e+02,1.473959210446861290e-01,0.000000000000000000e+00,6.443092320218709368e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.093491670899820463e+02,5.193216014260574553e+01,-6.870520235701055647e-03,1.865381367202906233e+02,7.345744865498027298e-02,0.000000000000000000e+00,8.267862073163046333e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.147381065898995729e+02,3.795842099815207149e+01,-3.097409375205520052e-02,8.112499657138729390e+02,9.422029235026085914e-02,0.000000000000000000e+00,5.322893316622606896e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.371266381478697305e+01,2.724283515063590499e+01,-9.597922536086433976e-03,2.572264302349018976e+02,2.693425198085441785e-02,0.000000000000000000e+00,1.545031883766970005e+01,1.000000000000000000e+00
7.000000000000000000e+00,4.294468635945158042e+01,4.457832679938039888e+01,-8.937403762209484778e-03,2.401072304186050701e+02,6.175156322594832492e-02,0.000000000000000000e+00,9.546983778554526623e+00,1.000000000000000000e+00
