frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,6.417075476356296804e+01,6.448649841786169290e+00,-2.160411450379287612e-02,5.684006276336801875e+02,2.264169930446088275e-01,0.000000000000000000e+00,1.292293012397212770e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.864629319647526984e+01,1.093162595760738931e+01,-3.835687634608513780e-02,1.002595519278747133e+03,1.449406881628272359e-01,0.000000000000000000e+00,5.939716188155025556e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.298829903514081252e+02,1.294681679731924007e+01,-1.976125412614965562e-02,5.206377232528762988e+02,2.634729061614726753e-02,0.000000000000000000e+00,1.166418919442040547e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.413157710850365447e+02,1.525870655680357935e+01,-1.883262393675292842e-02,4.965696628184733754e+02,5.298448447971348951e-02,0.000000000000000000e+00,8.739755125065155283e+00,1.000000000000000000e+00
5.000000000000000000e+00,4.230452768849329459e+01,1.780306555819323577e+01,-1.808250788423615418e-02,4.771282977940194883e+02,5.934898128448784504e-02,0.000000000000000000e+00,9.659613304998721617e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.440369070357467507e+01,2.349083417790481221e+01,-1.939279652566116771e-02,5.110881093190098454e+02,8.533123538021170074e-02,0.000000000000000000e+00,1.031168116236250398e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.328917346072632277e+01,2.715526224324199589e+01,-2.077780684641353931e-02,5.469845431015420445e+02,4.507842252595595234e-02,0.000000000000000000e+00,7.131744771770700986e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.078094174491985626e+02,3.134044298053074584e+01,-1.791276159775202423e-02,4.727288458612004547e+02,3.506327699444568013e-01,0.000000000000000000e+00,3.431980332584448679e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.059948456366685576e+02,3.620468228103084130e+01,-2.122674496886862647e-02,5.586200358799706009e+02,2.312036846622667063e-01,0.000000000000000000e+00,5.191675532557681549e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.312113335908667011e+02,3.744380808211830214e+01,-2.137767939130170297e-02,5.625319255021580602e+02,4.401357539064476576e-02,0.000000000000000000e+00,7.487602081923947495e+00,1.000000000000000000e+00
